variant_id,gene,ClinVar_label,review_status,review_score,mechanism_class,inheritance_model,variant_consequence,global_AF,popmax_AF,effective_AF,allele_count,evaluability_tier,MCAF_strict,MCAF_hard,MCAF_permissive,ClinGen_validity_gene_level,variant_source,af_bin,vital_route_main,gene_actionable
VCV002682850,TRDN,LP,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,3.751489341268484e-06,6.617783307303386e-05,6.617783307303386e-05,5.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV001427034,TRDN,LP,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,LOF,6.79663424697027e-05,8.552347090760583e-05,8.552347090760583e-05,91.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV003075756,SCN5A,LP,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,2.068392073370004e-06,6.006366748753679e-05,6.006366748753679e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV001070395,TRDN,P,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,splice_or_intronic,5.278376069899409e-05,6.756756756756757e-05,6.756756756756757e-05,77.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000427946,CASQ2,LP,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,missense,3.078341745187184e-05,4.9675453702477146e-05,4.9675453702477146e-05,45.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000871731,KCNQ1,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,2.053657975586114e-06,6.709308046696784e-05,6.709308046696784e-05,3.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002051520,TRDN,LP,"criteria provided, single submitter",1,AR,autosomal_recessive,splice_or_intronic,1.3703867642564762e-06,5.052801778586226e-05,5.052801778586226e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002632714,CACNA1C,LP,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,splice_or_intronic,2.0525170701003e-06,3.747423646243208e-05,3.747423646243208e-05,2.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000519365,CASQ2,LP,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,LOF,3.1733855056306896e-05,4.178991663820107e-05,4.178991663820107e-05,46.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV001523438,CASQ2,LP,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,1.3783198556623447e-06,4.473272198613286e-05,4.473272198613286e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV004756593,SCN5A,P,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,6.876056334154334e-07,3.8337678270203954e-05,3.8337678270203954e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000862119,CASQ2,LP,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,missense,1.0267488613355128e-05,3.827311696264544e-05,3.827311696264544e-05,15.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000378906,KCNQ1,LP,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,missense,2.054848002893226e-06,3.8743171516020304e-05,3.8743171516020304e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002744490,KCNQ1,P,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,1.0193098049448758e-06,3.807493146512336e-05,3.807493146512336e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV004081881,ANK2,P,no assertion criteria provided,0,HI,autosomal_dominant,LOF,1.3682492293336216e-06,3.8267258533598655e-05,3.8267258533598655e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000801535,CASQ2,LP,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,other_or_unresolved,8.897357347985227e-06,6.707807888382076e-05,6.707807888382076e-05,3.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV001749169,TRDN,P,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,LOF,1.573551204040332e-05,2.9870362626202283e-05,2.9870362626202283e-05,23.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000373047,KCNH2,P,"criteria provided, single submitter",1,HI,autosomal_dominant,LOF,7.203770165153635e-07,2.8064660978895374e-05,2.8064660978895374e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000924057,SCN5A,P,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,6.851933821282381e-07,3.832592365476008e-05,3.832592365476008e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV001455898,KCNQ1,P,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,6.84671706763324e-07,3.828190797029324e-05,3.828190797029324e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002452890,SCN5A,LP,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,6.903779266846257e-07,3.0111412225233363e-05,3.0111412225233363e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV003673082,TRDN,P,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,1.1833916893360138e-05,1.5570594154409688e-05,1.5570594154409688e-05,16.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV000375594,KCNQ1,P,no assertion criteria provided,0,MIXED,mixed_context_dependent,missense,1.3684626827068738e-06,2.3186792802819512e-05,2.3186792802819512e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV001454593,KCNH2,P,"criteria provided, multiple submitters, no conflicts",2,HI,autosomal_dominant,LOF,1.432334375595314e-06,3.980891719745223e-05,3.980891719745223e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV003023363,ANK2,LP,"criteria provided, single submitter",1,HI,autosomal_dominant,LOF,6.843090668214118e-07,2.988464526926065e-05,2.988464526926065e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002980846,TRDN,P,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,1.506995472985599e-06,2.676874481355569e-05,2.676874481355569e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV003076018,KCNH2,LP,"criteria provided, single submitter",1,HI,autosomal_dominant,LOF,1.3790573591327384e-06,2.520923666431381e-05,2.520923666431381e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV003720989,KCNQ1,P,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,1.368365309750013e-06,2.31862551879246e-05,2.31862551879246e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV000838068,TRDN,LP,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,LOF,2.0270178963157825e-05,2.603458550047152e-05,2.603458550047152e-05,27.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV004055971,CACNA1C,P,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,6.842753524018065e-07,3.827018752391887e-05,3.827018752391887e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000440848,SCN5A,P,no assertion criteria provided,0,MIXED,mixed_context_dependent,other_or_unresolved,3.4209226365187595e-06,2.9870362626202283e-05,2.9870362626202283e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV003381030,KCNH2,LP,"criteria provided, single submitter",1,HI,autosomal_dominant,LOF,6.840469310918484e-07,2.235935962794025e-05,2.235935962794025e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
VCV001171509,SCN5A,LP,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,6.932745436520316e-07,2.56068831301854e-05,2.56068831301854e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002754396,SCN5A,P,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,6.972392116176787e-07,2.27004449287206e-05,2.27004449287206e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV001214434,SCN5A,P,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,2.052421583812688e-06,3.3126842680624107e-05,3.3126842680624107e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV001067403,KCNQ1,LP,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,6.854366642813471e-07,2.520034272466105e-05,2.520034272466105e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002830594,KCNQ1,P,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,6.841311671004058e-07,2.235935962794025e-05,2.235935962794025e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV000852605,RYR2,P,"criteria provided, single submitter",1,GoF_DN,autosomal_dominant,missense,9.531449812945298e-06,1.2573555298496204e-05,1.2573555298496204e-05,12.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
VCV001757434,CASQ2,LP,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,LOF,2.2557001542898904e-06,3.53090720775858e-05,3.53090720775858e-05,3.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV001420193,KCNH2,P,"criteria provided, multiple submitters, no conflicts",2,HI,autosomal_dominant,LOF,7.281115117342451e-07,2.8638524543215534e-05,2.8638524543215534e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000633643,CACNA1C,P,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,missense,6.842613057074236e-07,2.2369362920544025e-05,2.2369362920544025e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV003906496,ANK2,P,"criteria provided, single submitter",1,HI,autosomal_dominant,LOF,2.052244676819349e-06,2.987571701720841e-05,2.987571701720841e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000547162,KCNE1,P,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,3.000828228591091e-06,2.9429942023014216e-05,2.9429942023014216e-05,2.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000859128,CASQ2,P,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,1.6498437597959474e-06,2.4118469924268005e-05,2.4118469924268005e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV000666975,KCNQ1,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,1.4245501270698712e-06,3.968253968253968e-05,3.968253968253968e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV004614938,SCN5A,LP,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,1.386107049047398e-06,2.540779511154022e-05,2.540779511154022e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000972416,KCNH2,P,"criteria provided, multiple submitters, no conflicts",2,HI,autosomal_dominant,LOF,7.232300030520306e-07,2.6745119015779625e-05,2.6745119015779625e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002914884,CASQ2,LP,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,6.873948285912256e-07,2.5218136884047006e-05,2.5218136884047006e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV001515619,CASQ2,LP,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,6.866537850416593e-07,2.521050773962588e-05,2.521050773962588e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000926958,KCNQ1,LP,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,1.371599119982005e-06,2.5191455058444177e-05,2.5191455058444177e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002101362,ANK2,LP,"criteria provided, single submitter",1,HI,autosomal_dominant,LOF,7.081932291061752e-07,2.239741981723705e-05,2.239741981723705e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
VCV003019374,CASQ2,LP,"criteria provided, single submitter",1,AR,autosomal_recessive,splice_or_intronic,8.92116979868351e-06,1.173325438959098e-05,1.173325438959098e-05,13.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV001076966,KCNH2,LP,"criteria provided, multiple submitters, no conflicts",2,HI,autosomal_dominant,LOF,3.5673706872718e-06,3.380434047731729e-05,3.380434047731729e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002664649,ANK2,LP,no assertion criteria provided,0,HI,autosomal_dominant,missense,2.0523373385836683e-06,2.237236565394425e-05,2.237236565394425e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
VCV001457006,SCN5A,P,"criteria provided, single submitter",1,MIXED,mixed_context_dependent,LOF,6.840441235821475e-07,1.6557387906483872e-05,1.6557387906483872e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV000405260,KCNQ1,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,7.015476140365646e-07,2.484225170169424e-05,2.484225170169424e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV000418944,SCN5A,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,4.791389735748012e-06,3.826432999158185e-05,3.826432999158185e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000651334,CASQ2,P,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,6.846004603253495e-07,2.2361359570661896e-05,2.2361359570661896e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV004778592,CASQ2,LP,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,6.880825478871049e-07,2.236736154603203e-05,2.236736154603203e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV000523778,SCN5A,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,4.104371429196857e-06,3.311587243765937e-05,3.311587243765937e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000505275,SCN5A,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,other_or_unresolved,1.4756161804265416e-06,3.419271011420365e-05,3.419271011420365e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV003780742,TRDN,LP,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,2.053511778943564e-06,2.990251779199809e-05,2.990251779199809e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV001403180,TRDN,P,"criteria provided, single submitter",1,AR,autosomal_recessive,LOF,9.0703770555742e-07,2.2095541119802024e-05,2.2095541119802024e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV000496571,SCN5A,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,6.856199444099349e-07,2.524614996213077e-05,2.524614996213077e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002440963,KCNQ1,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,1.3834281903929214e-06,2.3213705371651425e-05,2.3213705371651425e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV003255050,RYR2,LP,"criteria provided, single submitter",1,GoF_DN,autosomal_dominant,missense,1.3682773114992762e-06,1.6563421340312053e-05,1.6563421340312053e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
VCV002440959,KCNQ1,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,6.845723408129707e-07,2.5192724341210258e-05,2.5192724341210258e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002899907,KCNQ1,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,3.003045087718947e-06,3.278043663541598e-05,3.278043663541598e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000449691,TRDN,P,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,LOF,8.154670542249349e-06,3.4233679093492176e-05,3.4233679093492176e-05,2.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV004278327,ANK2,LP,"criteria provided, single submitter",1,HI,autosomal_dominant,missense,6.840721997162468e-07,1.6559032952475575e-05,1.6559032952475575e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
VCV003359793,ANK2,LP,"criteria provided, single submitter",1,HI,autosomal_dominant,LOF,1.3683166284678274e-06,1.872308556450103e-05,1.872308556450103e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
VCV001075032,TRDN,LP,"criteria provided, multiple submitters, no conflicts",2,AR,autosomal_recessive,LOF,2.240414387045028e-06,3.33000333000333e-05,3.33000333000333e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV000503669,KCNH2,P,"criteria provided, multiple submitters, no conflicts",2,HI,autosomal_dominant,LOF,1.3683035225605884e-06,1.8775111711914684e-05,1.8775111711914684e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
VCV000667015,SCN5A,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,6.842435140557302e-07,2.2374367924106146e-05,2.2374367924106146e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_MODEL,True
VCV001480008,KCNJ2,P,"criteria provided, single submitter",1,GoF_DN,autosomal_dominant,LOF,6.840450594161539e-07,1.6557387906483872e-05,1.6557387906483872e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
VCV000842027,KCNQ1,LP,"criteria provided, multiple submitters, no conflicts",2,MIXED,mixed_context_dependent,LOF,1.3682454851319603e-06,2.5188916876574308e-05,2.5188916876574308e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,CHECK_POPMAX,True
VCV002576605,ANK2,P,"criteria provided, single submitter",1,HI,autosomal_dominant,LOF,1.368095733867073e-06,1.6557387906483872e-05,1.6557387906483872e-05,1.0,Tier1,2.5e-05,0.0001,0.001,moderate_or_disputed_context,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
VCV004813695,KCNH2,LP,"criteria provided, single submitter",1,HI,autosomal_dominant,missense,6.93410107700458e-07,1.171042461999672e-05,1.171042461999672e-05,1.0,Tier1,2.5e-05,0.0001,0.001,strong_or_definitive,empirical_clinvar_gnomad,1e-5-1e-4,VITAL_OK,True
