variation_id,clinvar_id,variation_type_xml,number_of_submissions_xml,number_of_submitters_xml,date_created,date_last_updated,most_recent_submission,record_type,date_created_parsed,date_created_year,date_last_updated_parsed,date_last_updated_year,most_recent_submission_parsed,most_recent_submission_year
421672,VCV000421672,Indel,1,1,2017-04-27,2022-11-05,2017-04-27,classified,2017-04-27,2017,2022-11-05,2022,2017-04-27,2017
423015,VCV000423015,Duplication,1,1,2017-04-27,2022-11-05,2017-04-27,classified,2017-04-27,2017,2022-11-05,2022,2017-04-27,2017
423696,VCV000423696,Deletion,1,1,2017-04-27,2022-11-05,2017-04-27,classified,2017-04-27,2017,2022-11-05,2022,2017-04-27,2017
423753,VCV000423753,single nucleotide variant,1,1,2017-04-27,2022-11-05,2017-04-27,classified,2017-04-27,2017,2022-11-05,2022,2017-04-27,2017
426429,VCV000426429,Indel,3,3,2017-05-22,2026-02-24,2026-02-23,classified,2017-05-22,2017,2026-02-24,2026,2026-02-23,2026
427076,VCV000427076,single nucleotide variant,1,1,2017-05-22,2025-07-28,2025-07-28,classified,2017-05-22,2017,2025-07-28,2025,2025-07-28,2025
427944,VCV000427944,Deletion,1,1,2017-08-20,2026-04-13,2025-04-13,classified,2017-08-20,2017,2026-04-13,2026,2025-04-13,2025
427945,VCV000427945,single nucleotide variant,1,1,2017-08-20,2026-04-13,2025-04-13,classified,2017-08-20,2017,2026-04-13,2026,2025-04-13,2025
430730,VCV000430730,Duplication,2,2,2017-07-20,2026-04-13,2026-02-23,classified,2017-07-20,2017,2026-04-13,2026,2026-02-23,2026
431036,VCV000431036,Deletion,1,1,2017-07-30,2026-04-13,2017-07-30,classified,2017-07-30,2017,2026-04-13,2026,2017-07-30,2017
431374,VCV000431374,Duplication,1,1,2017-08-07,2026-04-13,2017-08-07,classified,2017-08-07,2017,2026-04-13,2026,2017-08-07,2017
439845,VCV000439845,single nucleotide variant,5,5,2017-09-30,2026-04-13,2026-02-23,classified,2017-09-30,2017,2026-04-13,2026,2026-02-23,2026
446417,VCV000446417,single nucleotide variant,1,1,2017-12-03,2026-04-13,2017-12-03,classified,2017-12-03,2017,2026-04-13,2026,2017-12-03,2017
456876,VCV000456876,Deletion,1,1,2018-05-26,2026-02-24,2026-02-23,classified,2018-05-26,2018,2026-02-24,2026,2026-02-23,2026
456886,VCV000456886,Duplication,1,1,2018-10-10,2026-02-24,2026-02-23,classified,2018-10-10,2018,2026-02-24,2026,2026-02-23,2026
456901,VCV000456901,single nucleotide variant,1,1,2017-12-26,2026-03-08,2026-03-07,classified,2017-12-26,2017,2026-03-08,2026,2026-03-07,2026
456902,VCV000456902,Indel,1,1,2017-12-26,2026-02-24,2026-02-23,classified,2017-12-26,2017,2026-02-24,2026,2026-02-23,2026
456903,VCV000456903,Deletion,1,1,2017-12-26,2026-02-24,2026-02-23,classified,2017-12-26,2017,2026-02-24,2026,2026-02-23,2026
456904,VCV000456904,Duplication,1,1,2017-12-26,2026-03-08,2026-03-07,classified,2017-12-26,2017,2026-03-08,2026,2026-03-07,2026
456918,VCV000456918,Duplication,3,3,2017-12-26,2026-03-08,2026-03-07,classified,2017-12-26,2017,2026-03-08,2026,2026-03-07,2026
456919,VCV000456919,Duplication,2,2,2018-10-10,2026-03-08,2026-03-07,classified,2018-10-10,2018,2026-03-08,2026,2026-03-07,2026
456921,VCV000456921,Duplication,1,1,2018-05-26,2026-03-08,2026-03-07,classified,2018-05-26,2018,2026-03-08,2026,2026-03-07,2026
456935,VCV000456935,single nucleotide variant,1,1,2017-12-26,2026-02-24,2026-02-23,classified,2017-12-26,2017,2026-02-24,2026,2026-02-23,2026
488692,VCV000488692,single nucleotide variant,2,2,2018-02-13,2026-02-15,2026-02-15,classified,2018-02-13,2018,2026-02-15,2026,2026-02-15,2026
488895,VCV000488895,single nucleotide variant,1,1,2018-02-13,2022-11-05,2018-02-13,classified,2018-02-13,2018,2022-11-05,2022,2018-02-13,2018
489342,VCV000489342,single nucleotide variant,1,1,2018-02-13,2022-11-05,2018-02-13,classified,2018-02-13,2018,2022-11-05,2022,2018-02-13,2018
495746,VCV000495746,Deletion,3,3,2018-03-17,2024-05-01,2024-05-01,classified,2018-03-17,2018,2024-05-01,2024,2024-05-01,2024
503659,VCV000503659,Duplication,2,2,2018-04-02,2026-02-15,2026-02-15,classified,2018-04-02,2018,2026-02-15,2026,2026-02-15,2026
503669,VCV000503669,Duplication,4,4,2018-04-02,2026-04-13,2026-02-15,classified,2018-04-02,2018,2026-04-13,2026,2026-02-15,2026
503672,VCV000503672,Deletion,2,2,2018-04-02,2026-02-15,2026-02-15,classified,2018-04-02,2018,2026-02-15,2026,2026-02-15,2026
503674,VCV000503674,Deletion,1,1,2018-04-02,2023-03-05,2023-03-04,classified,2018-04-02,2018,2023-03-05,2023,2023-03-04,2023
503735,VCV000503735,Deletion,3,3,2018-04-02,2026-03-08,2026-03-07,classified,2018-04-02,2018,2026-03-08,2026,2026-03-07,2026
503760,VCV000503760,Deletion,1,1,2018-04-02,2022-11-05,2018-04-02,classified,2018-04-02,2018,2022-11-05,2022,2018-04-02,2018
503778,VCV000503778,Deletion,1,1,2021-09-26,2024-11-25,2021-09-26,classified,2021-09-26,2021,2024-11-25,2024,2021-09-26,2021
519204,VCV000519204,Indel,3,3,2018-04-14,2026-02-24,2026-02-23,classified,2018-04-14,2018,2026-02-24,2026,2026-02-23,2026
519217,VCV000519217,single nucleotide variant,1,1,2018-04-14,2024-05-01,2024-05-01,classified,2018-04-14,2018,2024-05-01,2024,2024-05-01,2024
519234,VCV000519234,Deletion,2,2,2018-04-14,2026-02-24,2026-02-23,classified,2018-04-14,2018,2026-02-24,2026,2026-02-23,2026
519237,VCV000519237,Microsatellite,2,2,2018-04-14,2026-02-15,2026-02-15,classified,2018-04-14,2018,2026-02-15,2026,2026-02-15,2026
519255,VCV000519255,Indel,1,1,2018-04-14,2024-05-01,2024-05-01,classified,2018-04-14,2018,2024-05-01,2024,2024-05-01,2024
519280,VCV000519280,Duplication,3,3,2018-04-14,2026-04-13,2026-02-15,classified,2018-04-14,2018,2026-04-13,2026,2026-02-15,2026
519327,VCV000519327,Deletion,2,2,2018-04-14,2026-03-08,2026-03-07,classified,2018-04-14,2018,2026-03-08,2026,2026-03-07,2026
519329,VCV000519329,Insertion,1,1,2018-04-14,2024-05-01,2024-05-01,classified,2018-04-14,2018,2024-05-01,2024,2024-05-01,2024
519330,VCV000519330,Deletion,1,1,2018-04-14,2024-05-01,2024-05-01,classified,2018-04-14,2018,2024-05-01,2024,2024-05-01,2024
519348,VCV000519348,Duplication,3,3,2018-04-14,2026-02-15,2026-02-15,classified,2018-04-14,2018,2026-02-15,2026,2026-02-15,2026
519378,VCV000519378,Deletion,2,2,2018-04-14,2026-02-24,2026-02-23,classified,2018-04-14,2018,2026-02-24,2026,2026-02-23,2026
519399,VCV000519399,single nucleotide variant,2,2,2018-04-14,2026-03-08,2026-03-07,classified,2018-04-14,2018,2026-03-08,2026,2026-03-07,2026
519473,VCV000519473,Deletion,1,1,2018-04-14,2024-05-01,2024-05-01,classified,2018-04-14,2018,2024-05-01,2024,2024-05-01,2024
519501,VCV000519501,single nucleotide variant,1,1,2018-04-14,2024-05-01,2024-05-01,classified,2018-04-14,2018,2024-05-01,2024,2024-05-01,2024
519509,VCV000519509,Deletion,2,2,2018-04-14,2026-02-15,2026-02-15,classified,2018-04-14,2018,2026-02-15,2026,2026-02-15,2026
519524,VCV000519524,single nucleotide variant,3,3,2018-04-14,2026-04-13,2026-02-15,classified,2018-04-14,2018,2026-04-13,2026,2026-02-15,2026
519551,VCV000519551,Deletion,1,1,2018-04-14,2024-05-01,2024-05-01,classified,2018-04-14,2018,2024-05-01,2024,2024-05-01,2024
520423,VCV000520423,single nucleotide variant,1,1,2018-04-15,2026-04-13,2018-04-15,classified,2018-04-15,2018,2026-04-13,2026,2018-04-15,2018
523697,VCV000523697,Duplication,1,1,2018-05-21,2023-06-24,2018-05-21,classified,2018-05-21,2018,2023-06-24,2023,2018-05-21,2018
523705,VCV000523705,Deletion,1,1,2018-05-21,2025-08-30,2025-05-03,classified,2018-05-21,2018,2025-08-30,2025,2025-05-03,2025
523712,VCV000523712,Microsatellite,1,1,2018-05-21,2025-08-30,2025-05-03,classified,2018-05-21,2018,2025-08-30,2025,2025-05-03,2025
523953,VCV000523953,Duplication,1,1,2018-05-21,2022-11-05,2018-05-21,classified,2018-05-21,2018,2022-11-05,2022,2018-05-21,2018
524038,VCV000524038,Duplication,2,2,2018-05-21,2026-02-15,2026-02-15,classified,2018-05-21,2018,2026-02-15,2026,2026-02-15,2026
526908,VCV000526908,Duplication,1,1,2018-10-10,2026-03-08,2026-03-07,classified,2018-10-10,2018,2026-03-08,2026,2026-03-07,2026
526925,VCV000526925,Deletion,1,1,2018-05-28,2026-03-08,2026-03-07,classified,2018-05-28,2018,2026-03-08,2026,2026-03-07,2026
526932,VCV000526932,Duplication,2,2,2018-10-10,2026-03-08,2026-03-07,classified,2018-10-10,2018,2026-03-08,2026,2026-03-07,2026
526939,VCV000526939,Microsatellite,2,2,2018-05-28,2026-03-08,2026-03-07,classified,2018-05-28,2018,2026-03-08,2026,2026-03-07,2026
526968,VCV000526968,single nucleotide variant,2,2,2018-05-28,2026-03-08,2026-03-07,classified,2018-05-28,2018,2026-03-08,2026,2026-03-07,2026
526969,VCV000526969,Deletion,1,1,2018-10-10,2026-03-08,2026-03-07,classified,2018-10-10,2018,2026-03-08,2026,2026-03-07,2026
545950,VCV000545950,Indel,1,1,2018-07-09,2022-11-05,2018-07-09,classified,2018-07-09,2018,2022-11-05,2022,2018-07-09,2018
560686,VCV000560686,single nucleotide variant,1,1,2018-09-14,2026-04-13,2018-09-14,classified,2018-09-14,2018,2026-04-13,2026,2018-09-14,2018
560696,VCV000560696,single nucleotide variant,1,1,2018-09-14,2026-04-13,2018-09-14,classified,2018-09-14,2018,2026-04-13,2026,2018-09-14,2018
565724,VCV000565724,Deletion,1,1,2018-10-10,2026-02-15,2026-02-15,classified,2018-10-10,2018,2026-02-15,2026,2026-02-15,2026
568003,VCV000568003,single nucleotide variant,1,1,2018-10-10,2026-02-15,2026-02-15,classified,2018-10-10,2018,2026-02-15,2026,2026-02-15,2026
570494,VCV000570494,Indel,1,1,2018-10-10,2026-02-15,2026-02-15,classified,2018-10-10,2018,2026-02-15,2026,2026-02-15,2026
570715,VCV000570715,Duplication,1,1,2018-10-10,2024-09-29,2018-10-10,classified,2018-10-10,2018,2024-09-29,2024,2018-10-10,2018
572344,VCV000572344,single nucleotide variant,1,1,2018-10-10,2026-02-15,2026-02-15,classified,2018-10-10,2018,2026-02-15,2026,2026-02-15,2026
579489,VCV000579489,Microsatellite,1,1,2018-10-10,2026-02-15,2026-02-15,classified,2018-10-10,2018,2026-02-15,2026,2026-02-15,2026
581669,VCV000581669,single nucleotide variant,1,1,2018-10-10,2026-03-08,2026-03-07,classified,2018-10-10,2018,2026-03-08,2026,2026-03-07,2026
582292,VCV000582292,Deletion,1,1,2018-10-10,2026-02-15,2026-02-15,classified,2018-10-10,2018,2026-02-15,2026,2026-02-15,2026
598783,VCV000598783,Deletion,3,3,2018-12-16,2026-04-13,2026-02-23,classified,2018-12-16,2018,2026-04-13,2026,2026-02-23,2026
618184,VCV000618184,single nucleotide variant,1,1,2019-02-18,2023-03-05,2019-02-18,classified,2019-02-18,2019,2023-03-05,2023,2019-02-18,2019
620154,VCV000620154,single nucleotide variant,3,3,2019-03-19,2026-02-15,2026-02-15,classified,2019-03-19,2019,2026-02-15,2026,2026-02-15,2026
620172,VCV000620172,single nucleotide variant,3,3,2019-03-19,2026-02-15,2026-02-15,classified,2019-03-19,2019,2026-02-15,2026,2026-02-15,2026
632866,VCV000632866,Deletion,5,5,2019-06-02,2026-04-13,2026-02-23,classified,2019-06-02,2019,2026-04-13,2026,2026-02-23,2026
637977,VCV000637977,Duplication,3,3,2019-07-27,2026-04-13,2026-02-15,classified,2019-07-27,2019,2026-04-13,2026,2026-02-15,2026
638156,VCV000638156,Deletion,2,2,2020-01-18,2026-04-13,2026-02-23,classified,2020-01-18,2020,2026-04-13,2026,2026-02-23,2026
640022,VCV000640022,Deletion,1,1,2019-08-14,2026-02-15,2026-02-15,classified,2019-08-14,2019,2026-02-15,2026,2026-02-15,2026
641517,VCV000641517,Duplication,1,1,2019-08-14,2026-02-15,2026-02-15,classified,2019-08-14,2019,2026-02-15,2026,2026-02-15,2026
645394,VCV000645394,Deletion,1,1,2019-08-14,2026-02-15,2026-02-15,classified,2019-08-14,2019,2026-02-15,2026,2026-02-15,2026
648088,VCV000648088,single nucleotide variant,2,2,2019-08-14,2026-02-15,2026-02-15,classified,2019-08-14,2019,2026-02-15,2026,2026-02-15,2026
652241,VCV000652241,Deletion,1,1,2019-08-14,2026-02-15,2026-02-15,classified,2019-08-14,2019,2026-02-15,2026,2026-02-15,2026
653333,VCV000653333,Deletion,4,4,2019-08-14,2026-02-15,2026-02-15,classified,2019-08-14,2019,2026-02-15,2026,2026-02-15,2026
657779,VCV000657779,Deletion,2,2,2019-08-14,2026-02-15,2026-02-15,classified,2019-08-14,2019,2026-02-15,2026,2026-02-15,2026
660047,VCV000660047,Duplication,1,1,2019-08-14,2026-02-15,2026-02-15,classified,2019-08-14,2019,2026-02-15,2026,2026-02-15,2026
663471,VCV000663471,Indel,2,2,2019-08-14,2026-02-15,2026-02-15,classified,2019-08-14,2019,2026-02-15,2026,2026-02-15,2026
663923,VCV000663923,Indel,1,1,2019-08-14,2026-02-15,2026-02-15,classified,2019-08-14,2019,2026-02-15,2026,2026-02-15,2026
667408,VCV000667408,Deletion,2,2,2019-08-26,2026-02-15,2026-02-15,classified,2019-08-26,2019,2026-02-15,2026,2026-02-15,2026
692257,VCV000692257,Duplication,1,1,2019-11-02,2026-04-13,2019-11-02,classified,2019-11-02,2019,2026-04-13,2026,2019-11-02,2019
692259,VCV000692259,Duplication,2,2,2019-11-02,2026-04-13,2026-02-23,classified,2019-11-02,2019,2026-04-13,2026,2026-02-23,2026
692260,VCV000692260,Deletion,1,1,2019-11-02,2026-04-13,2019-11-02,classified,2019-11-02,2019,2026-04-13,2026,2019-11-02,2019
695023,VCV000695023,single nucleotide variant,1,1,2019-12-16,2026-04-13,2025-04-13,classified,2019-12-16,2019,2026-04-13,2026,2025-04-13,2025
810745,VCV000810745,Deletion,1,1,2020-02-07,2022-11-05,2020-02-07,classified,2020-02-07,2020,2022-11-05,2022,2020-02-07,2020
811073,VCV000811073,single nucleotide variant,1,1,2020-02-10,2023-03-05,2020-02-10,classified,2020-02-10,2020,2023-03-05,2023,2020-02-10,2020
817602,VCV000817602,Deletion,1,1,2020-03-16,2022-11-05,2020-03-16,classified,2020-03-16,2020,2022-11-05,2022,2020-03-16,2020
817961,VCV000817961,Duplication,1,1,2020-03-16,2023-03-05,2023-03-04,classified,2020-03-16,2020,2023-03-05,2023,2023-03-04,2023
818076,VCV000818076,Deletion,2,2,2020-03-16,2026-04-13,2020-05-04,classified,2020-03-16,2020,2026-04-13,2026,2020-05-04,2020
835590,VCV000835590,Deletion,1,1,2020-04-15,2026-02-15,2026-02-15,classified,2020-04-15,2020,2026-02-15,2026,2026-02-15,2026
837649,VCV000837649,Deletion,1,1,2020-04-15,2024-09-29,2020-04-15,classified,2020-04-15,2020,2024-09-29,2024,2020-04-15,2020
846538,VCV000846538,Deletion,1,1,2020-04-15,2026-02-15,2026-02-15,classified,2020-04-15,2020,2026-02-15,2026,2026-02-15,2026
850821,VCV000850821,Duplication,1,1,2020-04-15,2026-02-15,2026-02-15,classified,2020-04-15,2020,2026-02-15,2026,2026-02-15,2026
851169,VCV000851169,Deletion,2,2,2020-04-15,2026-04-18,2026-02-15,classified,2020-04-15,2020,2026-04-18,2026,2026-02-15,2026
853484,VCV000853484,single nucleotide variant,1,1,2020-04-15,2026-02-15,2026-02-15,classified,2020-04-15,2020,2026-02-15,2026,2026-02-15,2026
857501,VCV000857501,Duplication,1,1,2020-04-15,2026-02-15,2026-02-15,classified,2020-04-15,2020,2026-02-15,2026,2026-02-15,2026
858246,VCV000858246,Duplication,1,1,2020-04-15,2026-02-15,2026-02-15,classified,2020-04-15,2020,2026-02-15,2026,2026-02-15,2026
858435,VCV000858435,Deletion,6,6,2020-04-15,2026-04-13,2026-02-15,classified,2020-04-15,2020,2026-04-13,2026,2026-02-15,2026
863419,VCV000863419,single nucleotide variant,1,1,2020-04-15,2026-02-15,2026-02-15,classified,2020-04-15,2020,2026-02-15,2026,2026-02-15,2026
864600,VCV000864600,Duplication,1,1,2020-04-15,2026-02-15,2026-02-15,classified,2020-04-15,2020,2026-02-15,2026,2026-02-15,2026
869431,VCV000869431,single nucleotide variant,1,1,2020-05-04,2026-04-13,2020-05-04,classified,2020-05-04,2020,2026-04-13,2026,2020-05-04,2020
869439,VCV000869439,single nucleotide variant,1,1,2020-05-04,2026-04-13,2020-05-04,classified,2020-05-04,2020,2026-04-13,2026,2020-05-04,2020
871784,VCV000871784,single nucleotide variant,1,1,2020-05-12,2026-01-11,2026-01-11,classified,2020-05-12,2020,2026-01-11,2026,2026-01-11,2026
917819,VCV000917819,Deletion,3,3,2020-06-22,2026-02-15,2026-02-15,classified,2020-06-22,2020,2026-02-15,2026,2026-02-15,2026
927383,VCV000927383,single nucleotide variant,2,2,2020-06-22,2026-02-08,2024-05-01,classified,2020-06-22,2020,2026-02-08,2026,2024-05-01,2024
928528,VCV000928528,Indel,2,2,2020-06-22,2026-02-08,2024-05-01,classified,2020-06-22,2020,2026-02-08,2026,2024-05-01,2024
934348,VCV000934348,Deletion,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
936138,VCV000936138,Deletion,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
937182,VCV000937182,Deletion,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
937320,VCV000937320,Deletion,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
939419,VCV000939419,Deletion,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
941189,VCV000941189,Deletion,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
943187,VCV000943187,Indel,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
943351,VCV000943351,single nucleotide variant,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
943648,VCV000943648,Deletion,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
947666,VCV000947666,Duplication,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
949692,VCV000949692,Microsatellite,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
955885,VCV000955885,Deletion,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
956361,VCV000956361,Deletion,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
958799,VCV000958799,Duplication,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
960485,VCV000960485,Microsatellite,1,1,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
968402,VCV000968402,single nucleotide variant,3,3,2020-07-16,2026-04-13,2026-02-15,classified,2020-07-16,2020,2026-04-13,2026,2026-02-15,2026
972416,VCV000972416,Deletion,2,2,2020-07-16,2026-02-15,2026-02-15,classified,2020-07-16,2020,2026-02-15,2026,2026-02-15,2026
972694,VCV000972694,single nucleotide variant,1,1,2020-07-16,2026-04-13,2020-07-16,classified,2020-07-16,2020,2026-04-13,2026,2020-07-16,2020
972695,VCV000972695,single nucleotide variant,1,1,2020-07-16,2026-04-13,2020-07-16,classified,2020-07-16,2020,2026-04-13,2026,2020-07-16,2020
977166,VCV000977166,single nucleotide variant,1,1,2020-08-23,2022-11-05,2020-08-23,classified,2020-08-23,2020,2022-11-05,2022,2020-08-23,2020
977169,VCV000977169,single nucleotide variant,2,2,2020-08-23,2026-04-13,2024-07-23,classified,2020-08-23,2020,2026-04-13,2026,2024-07-23,2024
979201,VCV000979201,Deletion,1,1,2020-10-03,2026-04-13,2020-10-03,classified,2020-10-03,2020,2026-04-13,2026,2020-10-03,2020
983076,VCV000983076,Deletion,1,1,2020-10-31,2026-04-13,2020-10-31,classified,2020-10-31,2020,2026-04-13,2026,2020-10-31,2020
992792,VCV000992792,Deletion,1,1,2021-01-17,2026-04-13,2024-12-14,classified,2021-01-17,2021,2026-04-13,2026,2024-12-14,2024
1001814,VCV001001814,single nucleotide variant,1,1,2021-03-07,2026-02-15,2026-02-15,classified,2021-03-07,2021,2026-02-15,2026,2026-02-15,2026
1027323,VCV001027323,single nucleotide variant,2,2,2021-03-14,2026-04-13,2026-02-15,classified,2021-03-14,2021,2026-04-13,2026,2026-02-15,2026
1058879,VCV001058879,Deletion,1,1,2021-04-13,2026-02-15,2026-02-15,classified,2021-04-13,2021,2026-02-15,2026,2026-02-15,2026
1064605,VCV001064605,Deletion,1,1,2021-10-08,2026-04-13,2025-04-13,classified,2021-10-08,2021,2026-04-13,2026,2025-04-13,2025
1064627,VCV001064627,Indel,1,1,2021-10-08,2026-04-13,2025-04-13,classified,2021-10-08,2021,2026-04-13,2026,2025-04-13,2025
1066309,VCV001066309,single nucleotide variant,1,1,2021-05-10,2026-02-15,2026-02-15,classified,2021-05-10,2021,2026-02-15,2026,2026-02-15,2026
1066606,VCV001066606,single nucleotide variant,1,1,2021-05-10,2026-02-15,2026-02-15,classified,2021-05-10,2021,2026-02-15,2026,2026-02-15,2026
1068978,VCV001068978,Deletion,1,1,2021-05-10,2026-02-15,2026-02-15,classified,2021-05-10,2021,2026-02-15,2026,2026-02-15,2026
1069284,VCV001069284,Deletion,1,1,2021-05-10,2026-02-15,2026-02-15,classified,2021-05-10,2021,2026-02-15,2026,2026-02-15,2026
1069329,VCV001069329,Deletion,1,1,2021-05-10,2026-02-15,2026-02-15,classified,2021-05-10,2021,2026-02-15,2026,2026-02-15,2026
